id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
111355,Nissan,Murano SV,2022,23677,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,Sunset Drift Chromaflair,Graphite,None reported,,37999
182258,Ford,Thunderbird Deluxe,2004,50000,Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,,,30000
14147,Buick,Enclave Avenir,2019,109646,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Dark Moss,Chestnut,None reported,Yes,26772
79313,BMW,340 i,2016,102000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,,,24999
101160,Toyota,Highlander SE,2020,75151,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,47995
112309,Chevrolet,Ram 2500 Laramie Quad Cab,1996,120000,Diesel,250.0HP 5.9L Straight 6 Cylinder Engine Diesel Fuel,A/T,Red,Gray,None reported,Yes,7500
7832,Volkswagen,Jetta SportWagen SE,2010,107000,Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,5899
35553,Ford,Mustang GT Premium,2014,127500,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,36900
28720,Porsche,911 Carrera S,2020,21613,Gasoline,3.6 Liter SIDI DOHC,Automatic,Black,Red,None reported,,57998
87394,Porsche,Cayenne Platinum Edition,2018,81400,Gasoline,3.0L V6 24V GDI DOHC Turbo,8-Speed Automatic,Black,Black,None reported,Yes,43499
72704,Lexus,IS 350 Base,2015,124000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Red,At least 1 accident or damage reported,Yes,13000
8528,GMC,Acadia SLE-2,2015,119000,Gasoline,281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,12000
152753,RAM,1500 Big Horn,2021,49583,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Billet Silver Metallic Clearcoat,Diesel Gray / Black,None reported,,31621
185166,Porsche,Macan S,2016,27654,Gasoline,3.0 Liter Turbo,Automatic,White,Black,,,18999
60169,Jeep,Grand Cherokee L Laredo,2021,135484,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,41999
26236,Chevrolet,Camaro 2SS,2017,12600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,46000
29343,Chevrolet,Suburban LT,2017,110000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,24995
169059,BMW,740 i,2015,48000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,41500
63370,Nissan,Quest SL,2013,194000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,11800
170096,Nissan,Frontier SV,2012,96000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,17900
187155,Porsche,Macan,2023,3389,Gasoline,2.0 Liter DOHC Turbo,Automatic,Lunar Blue Metallic,Macchiato Beige/Black,None reported,,33591
101866,Mercedes-Benz,C-Class C 300 4MATIC Sport,2015,28600,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,,,72900
1416,BMW,M440 i xDrive,2021,73800,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Silver,Black,None reported,Yes,48999
52247,Ford,F-150 Lariat,2016,102604,E85 Flex Fuel,385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Blue,Black,None reported,Yes,23500
162820,Land,Rover Range Rover 3.0L Supercharged HSE,2020,24500,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,48000
48335,Mercedes-Benz,E-Class E 400 4MATIC,2018,59400,Gasoline,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,35999
162608,Mercedes-Benz,C-Class C 300 4MATIC Sport,2018,87579,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Cirrus Silver Metallic,AMG Black,None reported,,30427
171801,Mazda,MX-5 Miata RF Club,2014,76000,Gasoline,181.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,None reported,Yes,19500
21040,Mercedes-Benz,S-Class S 560 4MATIC,2016,105760,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,55000
11206,Toyota,Supra A91 Edition,2017,7800,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,5-Speed A/T,Silver,Black,None reported,Yes,27999
135807,Ford,Flex Limited,2011,110000,Gasoline,262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,9500
102164,Volvo,XC90 T6 Momentum,2018,110380,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,21000
135388,Ford,Explorer Limited,2017,91000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,18000
155174,Ford,Fusion SE,2011,160000,E85 Flex Fuel,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,A/T,Gray,Black,None reported,Yes,4500
83084,Audi,Q5 2.0T Premium Plus,2017,55000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,15499
179901,INFINITI,QX60 Base,2020,39102,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Beige,None reported,Yes,26499
99295,Lexus,GX 460 Base,2016,51890,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,21000
37797,Ford,F-250 Lariat,2013,94634,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,38900
63533,Ford,Explorer Limited,2017,73000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,18500
179070,Tesla,Model Y Performance,2022,30761,,Electric,Automatic,Phantom Black,Black,None reported,,73998
47432,Lexus,GX 460 Base,2016,87500,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,21400
28510,BMW,528 i xDrive,2015,71200,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,White,At least 1 accident or damage reported,Yes,15900
63085,Chevrolet,Silverado 1500 2LT,2017,5040,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,None reported,Yes,41000
101832,Nissan,Xterra S,2012,130000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,15500
85390,Audi,A6 3.0T Premium Plus,2017,45253,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,33995
29894,Land,Rover Range Rover 3.0L Supercharged HSE,2016,100000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,17000
128818,Ford,F-150 Lariat,2019,50000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,65000
134184,BMW,650 Gran Coupe i xDrive,2014,82978,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,30000
134336,Subaru,Impreza WRX Sti Special Edition,2008,87500,Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Beige,None reported,Yes,20000
156138,Tesla,Model X Long Range Plus,2020,37000,,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Black,None reported,Yes,54490
133273,Ford,Expedition EL XLT,2014,85253,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,18900
184862,BMW,328 i xDrive,2012,103272,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,12500
17049,Porsche,Cayenne GTS Coupe AWD,2021,10376,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,220000
63445,RAM,1500 Big Horn,2022,19376,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,38633
